,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
331,11,0.71325,0.1221071796960905,fc1fc2,0.0006,0.025,0.673485,0.1278576350451287,-0.039765
332,11,0.71325,0.1221071796960905,fc2,0.0001,0.025,0.7113637500000001,0.1130893713967703,-0.0018862499999999
333,11,0.71325,0.1221071796960905,fc2,0.0002,0.025,0.6905305,0.1112602956928781,-0.0227195
334,11,0.71325,0.1221071796960905,fc2,0.0004,0.025,0.7151514999999999,0.0929815996295324,0.0019014999999998
335,11,0.71325,0.1221071796960905,fc2,0.0006,0.025,0.735985,0.0553028767123977,0.0227349999999999
336,11,0.71325,0.1221071796960905,r1,0.0001,0.025,0.7113637500000001,0.1130893713967703,-0.0018862499999999
337,11,0.71325,0.1221071796960905,r1,0.0002,0.025,0.6924245,0.0731258401045759,-0.0208255
338,11,0.71325,0.1221071796960905,r1,0.0004,0.025,0.6488637500000001,0.112763425729489,-0.0643862499999999
339,11,0.71325,0.1221071796960905,r1,0.0006,0.025,0.6924245,0.0731258401045759,-0.0208255
340,11,0.71325,0.1221071796960905,r1fc1fc2,0.0001,0.025,0.6905305,0.1112602956928781,-0.0227195
341,11,0.71325,0.1221071796960905,r1fc1fc2,0.0002,0.025,0.71325775,0.0751832375926753,7.749999999973056e-06
342,11,0.71325,0.1221071796960905,r1fc1fc2,0.0004,0.025,0.671591,0.0922741082319412,-0.041659
343,11,0.71325,0.1221071796960905,r1fc1fc2,0.0006,0.025,0.671591,0.0922741082319412,-0.041659
356,12,0.821975,0.0075499999999999,fc1,0.0001,0.025,0.844697,0.0435194139896208,0.022722
357,12,0.821975,0.0075499999999999,fc1,0.0002,0.025,0.8655305,0.0547607514466337,0.0435554999999999
358,12,0.821975,0.0075499999999999,fc1,0.0004,0.025,0.8655305,0.0547607514466337,0.0435554999999999
359,12,0.821975,0.0075499999999999,fc1,0.0006,0.025,0.8655305,0.0547607514466337,0.0435554999999999
360,12,0.821975,0.0075499999999999,fc1fc2,0.0001,0.025,0.8655305,0.0547607514466337,0.0435554999999999
361,12,0.821975,0.0075499999999999,fc1fc2,0.0002,0.025,0.8655305,0.0547607514466337,0.0435554999999999
362,12,0.821975,0.0075499999999999,fc1fc2,0.0004,0.025,0.8655305,0.0547607514466337,0.0435554999999999
363,12,0.821975,0.0075499999999999,fc1fc2,0.0006,0.025,0.844697,0.0435194139896208,0.022722
364,12,0.821975,0.0075499999999999,fc2,0.0001,0.025,0.844697,0.0435194139896208,0.022722
365,12,0.821975,0.0075499999999999,fc2,0.0002,0.025,0.8655305,0.0547607514466337,0.0435554999999999
366,12,0.821975,0.0075499999999999,fc2,0.0004,0.025,0.8655305,0.0547607514466337,0.0435554999999999
367,12,0.821975,0.0075499999999999,fc2,0.0006,0.025,0.8655305,0.0547607514466337,0.0435554999999999
368,12,0.821975,0.0075499999999999,r1,0.0001,0.025,0.844697,0.0435194139896208,0.022722
369,12,0.821975,0.0075499999999999,r1,0.0002,0.025,0.820076,0.1303932228376919,-0.0018989999999999
